name,message
袁弘,恭喜新手爸妈上岗[心]闺女可是来治爹的呀，专治各种不服[偷笑][嘻嘻]
郭晓婷,[打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call]
每天都会睡饱饱,我操[疑问][疑问][疑问][疑问][疑问]
一念执着pt,老大 愿 你与你所爱之人 余生 平安喜乐 一念 会 支持你 http://t.cn/A69E1c9X
冻了一梨, “从此孤岛遇上孤岛，海陆相连，绵延万里”
盘子觉得好像星空哦,携全体胡椒祝福你哦哥 还要一年拍十部戏[心] http://t.cn/A69E1tn4
北緯有魚·,院子里种好胡椒了吗  以后要跟孩子说 这是你的宝贝[憧憬] http://t.cn/A69E1VRJ
小生洛格,挺好的，恭喜
起风了唯宥努力生存,彭于晏：？！？
古月椒盐,整个震惊我，正在看手机，还以为是营销号乱写[苦涩]果然老胡找的是圈外人[泪][苦涩][苦涩]一时半会我还有点懵，没有缓过来[苦涩][允悲]
奶茶戒糖中,先祝福哥哥，希望我们小公主健康成长。另外，胡歌，你现在是当爸爸的人了，一定要注意自己的拍戏播出频率，可不能和以前一样几年才播一部了，还没拍完的抓紧拍完，还没进组的赶紧进，还没上映的就去催一催，孩子奶粉钱不便宜啊。
小bin_bin_,卧槽！真的是突然的惊喜啊！恭喜胡歌喜得千金！胡歌啊，都有公主了是不是要赶紧多进几个组好好赚奶粉钱了？而且，除了我们的公主，你还有一大群胡椒等着你喂粮呢，我们也好久没粮吃了啊！再次恭喜胡歌喜得爱女！还有，速速进新组！！！
少年天斩九歌,卧槽 恭喜我胡找到幸福喜得千金 接下来快快进组吧 古装谍战悬疑都来吧一年十部剧不能少 多赚点奶粉钱[打call][打call][打call] 永远爱胡歌[心][心][心] http://t.cn/A69E1tgZ
奶油芋圆不加甜,恭喜老胡啊！！！！还好没当上吴磊伴郎（bushi）[doge]
兔软团,图片评论 http://t.cn/A69E1ioW
夏磊Leon,！！！！！恭喜老胡[鲜花][鲜花][鲜花][鲜花]
真的不能再喝了aaa,卧槽卧槽！！！！！[哆啦A梦害怕]
李艾,恭喜恭喜！
宝总在逃秘书,胡歌，你现在是当爸爸的人了，一定要注意自己的拍戏播出频率，可不能和以前一样几年才播一部了，还没拍完的比如《繁花》抓紧拍完，还没进组的赶紧进，还没上映的比如《驯鹿》《不虚此行》去催一催，孩子奶粉钱不便宜啊。
男德0,震惊了 http://t.cn/A69E1HWq
五菱汽车,[送花花][送花花]恭喜老胡，以后看谁还敢说小五家的车是单身座驾[doge]
古月哥欠-胡歌官网,#胡歌[超话]# 兔年来自老胡@胡歌 的第一条好消息！前路繁花似锦 风光正好 我们会继续陪伴你一起幸福下去～[心]
周杰伦_bot,我断网了[苦涩]
不知名烦死了选手,彭于晏该急了[吃惊]
歪梨诗包,恭喜老胡！一家人就是要整整齐齐[爱你] http://t.cn/A69EB6dZ
再吃一颗山竹,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？！？！！？！？！！？？！！！！？？！！！！！！！！！！！！！！
7523027525_807,？？？？啥时候有的女朋友？？？
跟我谭恋爱,不是……没有人意难平吗[悲伤][悲伤][悲伤]
胡歌是人间理想,分点桃花运给我！！！！
月亮走了十公里,祝福你，我一直不知道这一天来临的时候是什么样的心情，你幸福开心是最美好的事情。
真的不能再喝了aaa,老婆是谁？？[哆啦A梦害怕][哆啦A梦害怕]
小皮潇,彭于晏：他不急 那我也不急[喵喵]
冯骏骅,啊啊啊啊！女儿！！！！
一只鸡拌一只鹅,我去[傻眼]
原来竟是柠檬百香郭,消息很突然  但还是恭喜[赢牛奶][赢牛奶][赢牛奶]
呈琰一定回成,一定要幸福啊！
嘿得闲饮茶,恭喜恭喜[赢牛奶]
男德0,彭于晏：瞒着我偷偷当爸了 http://t.cn/A69E13Tm
偷偷说_品相一般,恭喜恭喜
CENTER13,哇哇哇哇哇哇哇 恭喜恭喜恭喜老大[鼓掌][鼓掌][鼓掌] 找到了属于自己的这份甜蜜小幸福 小小胡也来啦还是个女儿 果然是份大礼 啊啊啊啊啊啊啊太太太激动了幸福感满满[打call][打call][打call]
Fire光明草,真好～[心]老胡的孩子是个兔宝宝哟[兔子]
-梁小凉,哇，恭喜胡先生，小小胡终于出生了[打call][打call][打call][心][心][心]
命-理-午戌轩,我去年有写过胡歌，终于在今年开花结果了，恭喜🎉
随便玩玩de,我靠
一念执着pt,老大 愿 你与你所爱之人 余生 平安喜乐 一念 会 支持你[作揖] http://t.cn/A69E1f3X
留苏巧克力,恭喜我哥喜提千金兔宝宝[doge]
吃维C了没,卧槽？什么时候结婚的
从始至终的平安,恭喜李逍遥！！！
晓雪,祝福[心]帅弟弟荣升帅爸爸，弟妹是个很好的女孩[心]
葫芦丝ig,哥，院子里种好胡椒了吗？以后要跟孩子说， 这是你的宝贝[憧憬]
还好violaz,啊啊啊啊啊啊你终于婚了 妻女相伴  “歌长有和鸣”  大喜大喜 恭喜恭囍 🎉🎊🌹((❤️⥎❤️))🌹 http://t.cn/A69E1CJB
七予亦,哇！铁树开花（bushi）老来得子(bushi) 恭喜老胡喜提人生新角色！！！[打call]
我向月神祈祷月神说你好,你连绯闻都没有[费解]
一笑朗然2000,[允悲][允悲]
若寒-不加班星人,恭喜恭喜！我胡有小棉袄了！！
豆豆日光倾城,要幸福[心][心][心]
秦茶ovo,我天，有点点难过，羡慕😭😭😭还是祝福，恭喜呀！一定要幸福～还有多多进组好吗！！进组！！！
易只肥猫m,恭喜🎊
微风起惊澜,我的天[打call]直接迈入下一阶段了[doge]祝老大幸福[心]
爱歌久久1126,诶诶，同志们，我们女性同胞们，当姑姑了，男同胞们当叔叔啦！！！[泪][泪][泪]好激动！
胡歌的摆渡贴心标签,#胡歌[超话]# 恭喜胡歌老师[打call][打call][打call]
食不食甜甜呀,男神奶爸[鲜花][鲜花][鲜花]
酸梅也很甜,啊啊啊恭喜胡歌 太幸福了 http://t.cn/A69E1JKW
醒时贪欢,浏览器推给我词条的时候我差点以为是UC骗人，有点突然但祝福啦！
就是南方姑娘,闷声干大事啊，白操心了哈哈哈
杨小敏不会化妆V,我哭了 谁懂
邪乎唉,祝福老胡，[打call][打call][打call]恭喜恭喜！终于呀[抱一抱][抱一抱][抱一抱]
谁敢言faker不行,一句话！祝福[太开心]
___Se7en-,啊卧槽 爷青结[泪]
爱吃酥脆小面包DAYTOY,以后彭于晏不能拿你当借口了[doge]
你不是山谷阿__,什么！
陈龙,一月初十 圆满[蛋糕]
扎西顿珠,[哈哈][哈哈][哈哈]恭喜哥迈入人生新阶段 我有属兔的小侄女了[嘻嘻]开心快乐[嘻嘻] 
风竹,彭于晏：[疑问][疑问][疑问][疑问]
Pluto14815,卧槽，恭喜我胡[鼓掌][鼓掌]
_大地上的异乡者_,恭喜老大喜得千金
斑马信条,恭喜！！！！！！啊啊啊啊啊！！！！！
天涯尽处是你啊,恭喜恭喜[心]
-Felicita,恭喜我的胡老大晋升爸爸了[哈哈]恭喜老大拥有自己的家庭和自己的女儿[兔子][团圆兔]
煊333666,啊啊啊啊啊啊啊啊，突然来个大惊喜，恭喜胡歌歌，宝宝好可爱，我们歌歌有娃了，好幸福啊啊啊啊啊啊
丿Nana丶,卧槽卧槽卧槽，老大！太突然了！！！我一直还担心你的个人问题呢，没想到！！要幸福哦！！！
RW侠不离,开心，终于得愿以偿了
田田_后会无期_,祝福胡歌
奔跑在瓜田的猹,恭喜老胡[求关注]
星星榨橙汁儿,打开这条微博就提醒我反诈骗[开学季]不是真的对吧 http://t.cn/A69EBqPW
王艺霖,恭喜哥！[打call][打call][打call][打call]
_歌聲販售機_,恭喜！！！！！！啊啊啊啊啊！！！！！
芜呷,很懵，但是恭喜恭喜，我老胡终于有着落了[泪]
玖熙拜拜,首先恭喜恭喜，其次哥哥就是咱可以出来工作了
米路灬,胡歌歌生了就是我生了，从此我要多一个女儿啦！祝福可爱的胡小宝贝健康快乐成长[抱一抱][抱一抱][抱一抱]胡歌歌也要记得多赚奶粉钱呀，一年至少三部戏[喵喵][喵喵][喵喵]
杨曙光律师,恭喜恭喜！为胡歌先生感到高兴！诚挚祝愿宝宝茁壮成长，健康快乐！
木声几夕,祝福哥哥❤️要一直幸福哦
RR-Augsol,@：/%-#+✘&（～）✔_[苦涩]
不二忆逍遥,恭喜胡歌老师，呜呜呜，从李逍遥到梅长苏到梅小歌，见证了你无数的经典角色，看着你飞天奖提名到白玉兰视帝金鹰视帝，作为你的粉丝真的很骄傲，恭喜你现在多了一个角色，那就是爸爸，请为你的小棉袄和粉丝带来更多更好的作品[爱你][爱你][爱你]
董金昊_Jeremy,祝福胡歌，早生贵子
卡淘小猫崽,恭喜老胡[打call][心]
独鴈,意不意外，惊不惊喜，刺不刺激！[doge]
一个屁名_,我操？？？？？
xyz精灵儿,老胡：恭喜恭喜！人生终于迈向新阶段！做个好丈夫，好爸爸！加油[心]！期待更多新作品[心]
一只九宝,？？？？？？
江津,这下没理由胡歌不结婚我不结婚了[泪][泪][泪][泪]
早上吃饭了吗-,恭喜胡歌，下面我去催彭于晏了[兔子]
五月河岸,祝贺你 祝贺你 祝贺你
pinewing,恭喜恭喜，一定要幸福[微风][微风][微风]
1717清歌牧昭昭,除了要种在后院里的胡椒宝贝又多了个宝贝！！歌！！幸福幸福呀[团圆兔][泪][抱一抱][抱一抱]
微笑的罗先生,压力给到彭于晏这边[doge]
小棉袄贴贴胡,恭喜老胡
行云天边,恭喜！！！
陌棉i,恭喜 恭喜，我也考虑结婚了，要跟胡歌同步
哈哈姚哈哈,彭于晏：？？？
电影人藤井树,哇塞，热烈祝贺，终于升级当爹啦[鲜花][鲜花][鲜花]
吾名璎璎,祝福！人生的道路又有新成员加入了！[送花花]
穿0号的松本稔,我丢啊…好突然…恭喜男神恭喜[允悲][加油]
胡歌你的赞为啥这么多,恭喜恭喜恭喜🎉🎉🎉[心][心][心]胡歌胡歌胡歌
枝意酱,恭喜恭喜！！！[奥特曼][奥特曼][奥特曼]
李赛博,恭喜恭喜[好喜欢]
某某爱喝奶茶,恭喜恭喜
会唱歌的胡萝卜22,很突然，但是很开心[抱一抱]要幸福哦[心]
當美女好煩唷,你啥时候结婚的！！！！！！
摯愛如歌_胡歌台灣粉絲團,恭喜老大賀喜老大[心][心][心]願大家都能給予@胡歌 更多私人的空間 一起保護胡嫂 保護老大最最最可愛的女兒[愛你] 老大一定一定要永遠幸福[鮮花]
奇国DE芋头--蕾,恭喜恭喜[心][心][鲜花][鲜花][鲜花]
哇哈哈哈1730,恭喜恭喜🎉
原本丶记忆的路线,恭喜胡老师[心]祝福家庭幸福美满  小小胡茁壮成长
每一天都想成为富婆,恭喜你老胡[哇]
LRCOK呦呦,恭喜啊，哥，新年快乐啊
刘姝宁Huge,恭喜恭喜[心]  终于等到你获得幸福了
LaFleurImmortelle小朵,祝福男神，好好过日子，好好幸福[团圆兔][团圆兔][心][心][鲜花][鲜花]
意大利德龙DeLonghi,恭喜#意大利德龙品牌代言人胡歌# 新晋帅气奶爸，寻觅生活点滴幸福，享受居家咖啡新乐趣。
和你去洛阳看烟花,谢谢你，老胡，希望幸福永远伴随你！
火囍火,[心][心][心][泪][泪][泪][心][心][心][泪][泪][泪][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][心][抱抱][抱抱]
罗兰小柯6120,恭喜
CATS920,卧槽卧槽卧槽
Anonymous-boy,恭喜老胡～
瓜皮鸡柳,恭喜[送花花]
星光大海lg,恭喜
若寒-不加班星人,啊啊啊啊啊啊啊啊啊恭喜恭喜！是不是要一年十部戏赚奶粉钱了
星空电台Hugo,恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜[打call][打call][打call][打call][打call]
古月云歌,#胡歌# 恭喜老胡喜提千金 [哇][哇][哇][打call][打call][打call]
龏瑺,恭喜恭喜，虽然很震惊，但是又不太意外，毕竟是老胡呀！正常
被遗忘在2014的人,以他风格，一点不感觉意外[笑cry]。恭喜恭喜[作揖]
蓝胖子冯,恭喜恭喜
柯之妻,知道你终于成家当爸爸了之后  为你感到高兴和满足 祝你幸福 歌💙💙💙
leftshinnydimple,唯有祝福[泪][心]
你的钢妹,祝福祝福！
大花狸哈哈哈,[鲜花][鲜花][鲜花][心][心][音乐][音乐][喵喵][喵喵][干杯][干杯]恭喜胡歌，为你祝福，永远幸福快乐@胡歌
玖熙拜拜,恭喜恭喜
7和人鱼,要幸福啊
Kelly_徐徐,恭喜你
橘子呼叫橙子,恭喜老大升级奶爸[打call][打call][打call]
AnNDreamer,这也太突然了……恭喜
执梓梓之手的路飞,卧槽[疑问]
座座座头鲸吖,恭喜恭喜[打call]
五菱汽车,普天同庆[送花花]，小五反手随一台宝宝巴士http://t.cn/A69Ekb2w
火神爷夏伯渝,恭喜胡歌老师
馨雨朦朦qd,恭喜🎉恭喜@胡歌
弗朗西斯的津威呢,恭喜恭喜啊老胡，保密工作做得真好，男粉要哭了啊[泪]
Bella六月雨,接着电话手机收到特别关注推送，愣住了……一开始以为是帮朋友宣传电影，这会心情很复杂，失落但又想祝福……
Sinry7,我去！！！太爆炸了[哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕]
被星星砸昏头的小短腿,[doge]胡歌的保密工作好严谨，连粉丝都不知道
忔囍,我们没有等来老大结婚的热搜，但是我们等来了老大的宝贝[打call][打call][打call]
月半西子,哇!恭喜逍遥哥哥~~
馨雨朦朦qd,新春大礼@胡歌
大爱子陵1314,不管怎么样还是支持你
我向月神祈祷月神说你好,什么啊[费解]真的吗我不信
emmm-aoliao,WC！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！祝福我歌！！！！！！！！！！！！！！！！！！！！！！！！！！！太震惊我了！！！！！！！！！！！！！！！！！！
今晚也要和你呼呼,祝福老胡
还不来快快降落降落这恒温星球,哇！恭喜胡哥喜得千金，祝哥嫂宝宝幸福开心每一天🥳
粉丝头条官方微博,恭喜！恭喜！
小篇章,恭喜我歌~要幸福！[心]
馨雨朦朦qd,这是新春佳节送给我们的大礼@胡歌
肖悦鑫,我去，恭喜
kris心芯茹,[打call][打call][打call][打call]
Kevenlist,恭喜老胡！！[开学季]
書与Jairo,卧槽，祝福歌哥[心]
Kevin周可人,太开心了，我哥一家都一辈子幸福！
槑槑很呆呆,真好！世界上又多了一个爱你的人[送花花][送花花][抱一抱][抱一抱][抱一抱][抱一抱]
就想安静睡会儿,卧槽！你
郑淼淼miaomiao,恭喜！
XXIbaby,祝福哥哥[抱一抱]
Coconut_如歌_Pineapple,终于啊，十几年了终于等来了你的好消息，怎么说呢，先震惊然后难受最后祝福[鲜花]你老大不小了，有家了，我放心了[单身狗][单身狗][单身狗][单身狗] http://t.cn/A69EBtoA
笛里梅音,我的网怎么滞后了[允悲][允悲]
我是薛凉,卧槽，刚给我推送我以为调侃[二哈]
